,Harry Potter and the Chamber of Secrets,Unnamed: 1
6298,Harry’s insides did a horrible somersault. Professor McGonagall pushed the door open,
6299,"and he and Ron entered… Madam Pomfrey was bending over a fifth-year girl with long,",
6300,curly hair.,
6301,Harry recognized her as the Ravenclaw they’d accidentally asked for directions to the,
6302,Slytherin common room. And on the bed next to her was —,
6303,“Hermione!” Ron groaned.,
6304,"Hermione lay utterly still, her eyes open and glassy.",
6305,"“They were found near the library,” said Professor McGonagall. “I don’t suppose either",
6306,of you can explain this? It was on the floor next to them…”,
6307,"She was holding up a small, circular mirror.",
6308,"Harry and Ron shook their heads, both staring at Hermione.",
6309,"“I will escort you back to Gryffindor Tower,” said Professor McGonagall heavily. “I need",
6310,to address the students in any case.”,
6311,“All students will return to their House common rooms by six o’clock in the evening. No,
6312,student is to leave the dormitories after that time. You will be escorted to each lesson by,
6313,a teacher. No student is to use the bathroom unaccompanied by a teacher. All further,
6314,Quidditch training and matches are to be postponed. There will be no more evening,
6315,activities.”,
6316,The Gryffindors packed inside the common room listened to Professor McGonagall in,
6317,silence. She rolled up the parchment from which she had been reading and said in a,
6318,"somewhat choked voice, “I need hardly add that I have rarely been so distressed. It is",
6319,likely that the school will be closed unless the culprit behind these attacks is caught. I,
6320,would urge anyone who thinks they might know anything about them to come forward.”,
6321,"She climbed somewhat awkwardly out of the portrait hole, and the Gryffindors began",
6322,talking immediately.,
6323,Page 219 of 291,
6324,Get free e-books and video tutorials at www.passuneb.com,
6325,,
6326,,
6327,"“That’s two Gryffindors down, not counting a Gryffindor ghost, one Ravenclaw, and one",
6328,"Hufflepuff, “ said the Weasley twins’ friend Lee Jordan, counting on his fingers. “Haven’",
6329,any of the teachers noticed that the Slytherins are all safe? Isn’t it obvious all this s,uff’
6330,"coming from Slytherin? The Heir of Slytherin, the monster of Slytherin — why don’t they",
6331,"just chuck all the Slytherins out?” he roared, to nods and scattered applause.",
6332,"Percy Weasley was sitting in a chair behind Lee, but for once he didn’t seem keen to",
6333,make his views heard. He was looking pale and stunned.,
6334,"“Percy’s in shock,” George told Harry quietly. “That Ravenclaw girl — Penelope",
6335,Clearwater — she’s a prefect. I don’t think he thought the monster would dare attack a,
6336,prefect.”,
6337,But Harry was only half-listening. He didn’t seem to be able to get rid of the picture of,
6338,"Hermione, lying on the hospital bed as though carved out of stone. And if the culprit",
6339,"wasn’t caught soon, he was looking at a lifetime back with the Dursleys. Tom Riddle had",
6340,turned Hagrid,
6341,in because he was faced with the prospect of a Muggle orphanage if the school closed.,
6342,Harry now knew exactly how he had felt.,
6343,“What’re we going to do?” said Ron quietly in Harry’s ear. “D’you think they suspect,
6344,Hagrid?”,
6345,"“We’ve got to go and talk to him,” said Harry, making up his mind. “I can’t believe it’s",
6346,"him this time, but if he set the monster loose last time he’ll know how to get inside the",
6347,"Chamber of Secrets, and that’s a start.”",
6348,“But McGonagall said we’ve got to stay in our tower unless we’re in class —”,
6349,"“I think,” said Harry, more quietly still, “it’s time to get my dad’s old cloak out again",”
6350,Harry had inherited just one thing from his father: a long and silvery Invisibility Cloak.,It
6351,was their only chance of sneaking out of the school to visit Hagrid without anyone,
6352,"knowing about it. They went to bed at the usual time, waited until Neville, Dean, and",
6353,"Seamus had stopped discussing the Chamber of Secrets and finally fallen asleep, then",
6354,"got up, dressed again, and threw the cloak over themselves.",
6355,Page 220 of 291,
6356,Get free e-books and video tutorials at www.passuneb.com,
6357,,
6358,,
6359,"The journey through the dark and deserted castle corridors wasn’t enjoyable. Harry, who",
6360,"had wandered the castle at night several times before, had never seen it so crowded",
6361,"after sunset. Teachers, prefects, and ghosts were marching the corridors in pairs, staring",
6362,around for any unusual activity. Their Invisibility Cloak didn’t stop them making any,
6363,"noise, and there was a particularly tense moment when Ron stubbed his toe only yards",
6364,"from the spot where Snape stood standing guard. Thankfully, Snape sneezed at almost",
6365,exactly the moment Ron swore. It was with relief that they reached the oak front doors,
6366,and eased them open.,
6367,"It was a clear, starry night. They hurried toward the lit windows of Hagrid’s house and",
6368,pulled off the cloak only when they were right outside his front door.,
6369,"Seconds after they had knocked, Hagrid flung it open. They found themselves face-to-",
6370,face with him aiming a crossbow at them. Fang the boarhound barked loudly behind,
6371,him.,
6372,"“Oh,” he said, lowering the weapon and staring at them. “What’re you two doin’ here?”",
6373,"“What’s that for?” said Harry, pointing at the crossbow as they stepped inside.",
6374,“Nothin’ — nothin’ —” Hagrid muttered. “I’ve bin expectin’ — doesn’ matter — Sit down,
6375,— I’ll make tea —”,
6376,"He hardly seemed to know what he was doing. He nearly extinguished the fire, spilling",
6377,"water from the kettle on it, and then smashed the teapot with a nervous jerk of his",
6378,massive hand.,
6379,"“Are you okay, Hagrid?” said Harry. “Did you hear about Hermione?”",
6380,"“Oh, I heard, all righ’,” said Hagrid, a slight break in his voice.",
6381,He kept glancing nervously at the windows. He poured them both large mugs of boiling,
6382,water (he had forgotten to add tea bags) and was just putting a slab of fruitcake on a,
6383,plate when there was a loud knock on the door.,
6384,Page 221 of 291,
6385,Get free e-books and video tutorials at www.passuneb.com,
6386,,
6387,,
6388,"Hagrid dropped the fruitcake. Harry and Ron exchanged panicstricken looks, then threw",
6389,the Invisibility Cloak back over themselves and retreated into a corner. Hagrid checked,
6390,"that they were hidden, seized his crossbow, and flung open his door once more.",
6391,"“Good evening, Hagrid.”",
6392,"It was Dumbledore. He entered, looking deadly serious, and was followed by a second,",
6393,very oddlooking man.,
6394,"The stranger had rumpled gray hair and an anxious expression, and was wearing a",
6395,"strange mixture of clothes: a pinstriped suit, a scarlet tie, a long black cloak, and pointe",
6396,purple boots. Under his arm he carried a lime-green bowler.,
6397,"“That’s Dad’s boss!” Ron breathed. “Cornelius Fudge, the Minister of Magic!”",
6398,Harry elbowed Ron hard to make him shut up.,
6399,Hagrid had gone pale and sweaty. He dropped into one of his chairs and looked from,
6400,Dumbledore to Cornelius Fudge.,
6401,"“Bad business, Hagrid,” said Fudge in rather clipped tones. “Very bad business. Had to",
6402,come. Four attacks on Muggle-borns. Things’ve gone far enough. Ministry’s got to act.”,
6403,"“I never,” said Hagrid, looking imploringly at Dumbledore. “You know I never, Professor",
6404,"Dumbledore, sir —”",
6405,"“I want it understood, Cornelius, that Hagrid has my full confidence,” said Dumbledore,",
6406,frowning at Fudge.,
6407,"“Look, Albus,” said Fudge, uncomfortably. “Hagrid’s record’s against him. Ministry’s got",
6408,to do something — the school governors have been in touch —”,
6409,"“Yet again, Cornelius, I tell you that taking Hagrid away will not help in the slightest,”",
6410,said Dumbledore. His blue eyes were full of a fire Harry had never seen before.,
6411,"“Look at it from my point of view,” said Fudge, fidgeting with his bowler. “I’m under a lot",
6412,"of pressure. Got to be seen to be doing something. If it turns out it wasn’t Hagrid, he’ll",
6413,Page 222 of 291,
6414,Get free e-books and video tutorials at www.passuneb.com,
6415,,
6416,,
6417,be back and no more said. But I’ve got to take him. Got to. Wouldn’t be doing my duty,
6418,—”,
6419,"“Take me?” said Hagrid, who was trembling. “Take me where?”",
6420,"“For a short stretch only,” said Fudge, not meeting Hagrid’s eyes. “Not a punishment,",
6421,"Hagrid, more a precaution. If someone else is caught, you’ll be let out with a full apology",
6422,”,
6423,“Not Azkaban?” croaked Hagrid.,
6424,"Before Fudge could answer, there was another loud rap on the door.",
6425,Dumbledore answered it. It was Harry’s turn for an elbow in the ribs; he’d let out an,
6426,audible gasp.,
6427,"Mr. Lucius Malfoy strode into Hagrid’s hut, swathed in a long black traveling cloak,",
6428,smiling a cold and satisfied smile. Fang started to growl.,
6429,"“Already here, Fudge,” he said approvingly. “Good, good…”",
6430,“What’re you doin’ here?” said Hagrid furiously. “Get outta my house!”,
6431,"“My dear man, please believe me, I have no pleasure at all in being inside your — er —",
6432,"d’you call this a house?” said Lucius Malfoy, sneering as he looked around the small",
6433,cabin. “I simply called at the school and was told that the headmaster was here.”,
6434,"“And what exactly did you want with me, Lucius?” said Dumbledore. He spoke politely,",
6435,but the fire was still blazing in his blue eyes.,
6436,"“Dreadful thing, Dumbledore,” said Malfoy lazily, taking out a long roll of parchment,",
6437,“but the governors feel it’s time for you to step aside. This is an Order of Suspension —,
6438,you’ll find all twelve signatures on it. I’m afraid we feel you’re losing your touch. How,
6439,"many attacks have there been now? Two more this afternoon, wasn’t it? At this rate,",
6440,"there’ll be no Muggle-borns left at Hogwarts, and we all know what an awful loss that",
6441,would be to the school.”,
6442,Page 223 of 291,
6443,Get free e-books and video tutorials at www.passuneb.com,
6444,,
6445,,
6446,"“Oh, now, see here, Lucius,” said Fudge, looking alarmed, “Dumbledore suspended —",
6447,"no, no — last thing we want just now.”",
6448,"“The appointment — or suspension — of the headmaster is a matter for the governors,",
6449,"Fudge,” said Mr. Malfoy smoothly. “And as Dumbledore has failed to stop these attacks",
6450,—”,
6451,"“See here, Malfoy, if Dumbledore can’t stop them,” said Fudge, whose upper lip was",
6452,"sweating now, “I mean to say, who can?”",
6453,"“That remains to be seen,” said Mr. Malfoy with a nasty smile. “But as all twelve of us",
6454,have voted —”,
6455,"Hagrid leapt to his feet, his shaggy black head grazing the ceiling.",
6456,"‘An’ how many did yeh have ter threaten an’ blackmail before they agreed, Malfoy, eh?”",
6457,he roared.,
6458,"“Dear, dear, you know, that temper of yours will lead you into trouble one of these days,",
6459,"Hagrid,” said Mr. Malfoy. “I would advise you not to shout at the Azkaban guards like",
6460,that. They won’t like it at all.”,
6461,"“Yeh can’ take Dumbledore!” yelled Hagrid, making Fang the boarhound cower and",
6462,"whimper in his basket. “Take him away, an’ the Muggle-borns won’ stand a chance!",
6463,There’ll be killin’ next!”,
6464,"“Calm yourself, Hagrid,” said Dumbledore sharply. He looked at Lucius Malfoy.",
6465,"“If the governors want my removal, Lucius, I shall of course step aside —”",
6466,“But —” stuttered Fudge.,
6467,“No!” growled Hagrid.,
6468,Dumbledore had not taken his bright blue eyes off Lucius Malfoy’s cold gray ones.,
6469,Page 224 of 291,
6470,Get free e-books and video tutorials at www.passuneb.com,
6471,,
6472,,
6473,"“However,” said Dumbledore, speaking very slowly and clearly so that none of them",
6474,"could miss a word, “you will find that I will only truly have left this school when none",
6475,here are loyal to me… Help will always be given at Hogwarts to those who ask for it.”,
6476,"For a second, Harry was almost sure Dumbledore’s eyes flickered toward the corner",
6477,where he and Ron were hidden.,
6478,"“Admirable sentiments,” said Malfoy, bowing. “We shall all miss your — er — highly",
6479,"individual way of running things, Albus, and only hope your successor will manage to",
6480,prevent any — ah — killins.”,
6481,"He strode to the cabin door, opened it, and bowed Dumbledore out. Fudge, fiddling",
6482,"with his bowler, waited for Hagrid to go ahead of him, but Hagrid stood his ground,",
6483,"took a deep breath, and said carefully, “If anyone wanted ter find out some stuff, all",
6484,they’d have ter do would be ter follow the spiders. That’d lead ‘em right. That’s all I’m,
6485,sayin’.”,
6486,Fudge stared at him in amazement.,
6487,"“All right, I’m comin’, said Hagrid, pulling on his moleskin overcoat. But as he was about",
6488,"to follow Fudge through the door, he stopped again and said loudly, “An’ someone’ll",
6489,need ter feed Fang while I’m away.”,
6490,The door banged shut and Ron pulled off the Invisibility Cloak.,
6491,"“We’re in trouble now,” Ron said hoarsely. “No Dumbledore. They might as well close",
6492,the school tonight. There’ll be an attack a day with him gone.”,
6493,"Fang started howling, scratching at the closed door.",
6494,CHAPTER FIFTEEN,
6495,Aragog,
6496,Summer was creeping over the grounds around the castle; sky and lake alike turned,
6497,periwinkle blue and flowers large as cabbages burst into bloom in the greenhouses. But,
6498,"with no Hagrid visible from the castle windows, striding the grounds with Fang at his",
6499,Page 225 of 291,
6500,Get free e-books and video tutorials at www.passuneb.com,
6501,,
6502,,
6503,"heels, the scene didn’t look right to Harry; no better, in fact, than the inside of the c",stle
6504,where things were so horribly wrong.,
6505,"Harry and Ron had tried to visit Hermione, but visitors were now barred from the",
6506,hospital wing.,
6507,"“We’re taking no more chances,” Madam Pomfrey told them severely through a crack in",
6508,"the infirmary door. “No, I’m sorry, there’s every chance the attacker might come back to",
6509,finish these people off…”,
6510,"With Dumbledore gone, fear had spread as never before, so that the sun warming the",
6511,castle walls outside seemed to stop at the mullioned windows. There was barely a face,
6512,"to be seen in the school that didn’t look worried and tense, and any laughter that rang",
6513,through the corridors sounded shrill and unnatural and was quickly stifled.,
6514,Harry constantly repeated Dumbledore’s final words to himself “I will only truly have lef,
6515,this school when none here are loyal to me… Help will always be given at Hogwarts to,
6516,those who ask for it.” But what good were these words? Who exactly were they supposed,
6517,"to ask for help, when everyone was just as confused and scared as they were?",
6518,"Hagrid’s hint about the spiders was far easier to understand. The trouble was, there",
6519,didn’t seem to be a single spider left in the castle to follow. Harry looked everywhere h,
6520,"went, helped (rather reluctantly) by Ron. They were hampered, of course, by the fact that",
6521,they weren’t allowed to wander off on their own but had to move around the castle in a,
6522,pack with the other Gryffindors. Most of their fellow students seemed glad that they,
6523,"were being shepherded from class to class by teachers, but Harry found it very irksome.",
6524,"One person, however, seemed to be thoroughly enjoying the atmosphere of terror and",
6525,suspicion. Draco Malfoy was strutting around the school as though he had just been,
6526,appointed Head Boy.,
6527,Harry didn’t realize what he was so pleased about until the Potions lesson about two,
6528,"weeks after Dumbledore and Hagrid had left, when, sitting right behind Malfoy, Harry",
6529,overheard him gloating to Crabbe and Goyle.,
6530,"“I always thought Father might be the one who got rid of Dumbledore,” he said, not",
6531,troubling to keep his voice down. “I told you he thinks Dumbledore’s the worst,
6532,headmaster the school’s ever had. Maybe we’ll get a decent headmaster now. Someone,
6533,Page 226 of 291,
6534,Get free e-books and video tutorials at www.passuneb.com,
6535,,
6536,,
6537,"who won’t want the Chamber of Secrets closed. McGonagall won’t last long, she’s only",
6538,filling in…”,
6539,"Snape swept past Harry, making no comment about Hermione’s empty seat and",
6540,cauldron.,
6541,"“Sir,” said Malfoy loudly. “Sir, why don’t you apply for the headmaster’s job?”",
6542,"“Now, now, Malfoy,” said Snape, though he couldn’t suppress a thin-lipped smile.",
6543,“Professor Dumbledore has only been suspended by the governors. I daresay he’ll be,
6544,back with us soon enough.”,
6545,"“Yeah, right,” said Malfoy, smirking. “I expect you’d have Father’s vote, sir, if you wan",ed
6546,"to apply for the job— I’ll tell Father you’re the best teacher here, sir —”",
6547,"Snape smirked as he swept off around the dungeon, fortunately not spotting Seamus",
6548,"Finnigan, who was pretending to vomit into his cauldron.",
6549,"“I’m quite surprised the Mudbloods haven’t all packed their bags by now,” Malfoy went",
6550,on. “Bet you five Galleons the next one dies. Pity it wasn’t Granger —”,
6551,"The bell rang at that moment, which was lucky; at Malfoy’s last words, Ron had leapt off",
6552,"his stool, and in the scramble to collect bags and books, his attempts to reach Malfoy",
6553,went unnoticed.,
6554,"“Let me at him,” Ron growled as Harry and Dean hung onto his arms. “I don’t care, I",
6555,"don’t need my wand, I’m going to kill him with my bare hands —”",
6556,"“Hurry up, I’ve got to take you all to Herbology,” barked Snape over the class’s heads,",
6557,"and off they marched, with Harry, Ron, and Dean bringing up the rear, Ron still trying to",
6558,get loose. It was only safe to let go of him when Snape had seen them out of the castle,
6559,and they were making their way across the vegetable patch toward the greenhouses.,
6560,"The Herbology class was very subdued; there were now two missing from their number,",
6561,Justin and Hermione.,
6562,Professor Sprout set them all to work pruning the Abyssinian Shrivelfigs. Harry went to,
6563,tip an armful of withered stalks onto the compost heap and found himself face-to-face,
6564,Page 227 of 291,
6565,Get free e-books and video tutorials at www.passuneb.com,
6566,,
6567,,
6568,"with Ernie Macmillan. Ernie took a deep breath and said, very formally, “I just want to",
6569,"say, Harry, that I’m sorry I ever suspected you. I know you’d never attack Hermione",
6570,"Granger, and I apologize for all the stuff I said. We’re all in the same boat now, and, w",ll
6571,—”,
6572,"He held out a pudgy hand, and Harry shook it.",
6573,Ernie and his friend Hannah came to work at the same Shrivelfig as Harry and Ron.,
6574,"“That Draco Malfoy character,” said Ernie, breaking off dead twigs, “he seems very",
6575,"pleased about all this, doesn’t he? D’you know, I think he might be Slytherin’s heir.”",
6576,"“That’s clever of you,” said Ron, who didn’t seem to have forgiven Ernie as readily as",
6577,Harry.,
6578,"“Do you think it’s Malfoy, Harry?” Ernie asked.",
6579,"“No,” said Harry, so firmly that Ernie and Hannah stared.",
6580,"A second later, Harry spotted something.",
6581,"Several large spiders were scuttling over the ground on the other side of the glass,",
6582,moving in an unnaturally straight line as though taking the shortest route to a,
6583,prearranged meeting. Harry hit Ron over the hand with his pruning shears.,
6584,“Ouch! What’re you —”,
6585,"Harry pointed out the spiders, following their progress with his eyes screwed up against",
6586,the sun.,
6587,"“Oh, yeah,” said Ron, trying, and failing, to look pleased. “But we can’t follow them no",
6588,—”,
6589,Ernie and Hannah were listening curiously.,
6590,"Harry’s eyes narrowed as he focused on the spiders. If they pursued their fixed course,",
6591,there could be no doubt about where they would end up.,
6592,Page 228 of 291,
6593,Get free e-books and video tutorials at www.passuneb.com,
6594,,
6595,,
6596,“Looks like they’re heading for the Forbidden Forest…”,
6597,And Ron looked even unhappier about that.,
6598,At the end of the lesson Professor Sprout escorted the class to their Defense Against the,
6599,Dark Arts lesson. Harry and Ron lagged behind the others so they could talk out of,
6600,earshot.,
6601,"“We’ll have to use the Invisibility Cloak again,” Harry told Ron. “We can take Fang with",
6602,"us. He’s used to going into the forest with Hagrid, he might be some help.”",
6603,"“Right,” said Ron, who was twirling his wand nervously in his fingers. “Er — aren’t there",
6604,— aren’t there supposed to be werewolves in the forest?” he added as they took their,
6605,usual places at the back of Lockhart’s classroom.,
6606,"Preferring not to answer that question, Harry said, “There are good things in there, too.",
6607,"The centaurs are all right, and the unicorns…”",
6608,Ron had never been into the Forbidden Forest before. Harry had entered it only once,
6609,and had hoped never to do so again.,
6610,Lockhart bounded into the room and the class stared at him. Every other teacher in the,
6611,"place was looking grimmer than usual, but Lockhart appeared nothing short of buoyant.",
6612,"“Come now,” he cried, beaming around him. “Why all these long faces?”",
6613,"People swapped exasperated looks, but nobody answered.",
6614,"“Don’t you people realize,” said Lockhart, speaking slowly, as though they were all a bit",
6615,"dim, “the danger has passed! The culprit has been taken away —”",
6616,“Says who?” said Dean Thomas loudly.,
6617,"“My dear young man, the Minister of Magic wouldn’t have taken Hagrid if he hadn’t",
6618,"been one hundred percent sure that he was guilty,” said Lockhart, in the tone of",
6619,someone explaining that one and one made two.,
6620,Page 229 of 291,
6621,Get free e-books and video tutorials at www.passuneb.com,
6622,,
6623,,
6624,"“Oh, yes he would,” said Ron, even more loudly than Dean.",
6625,"“I flatter myself I know a touch more about Hagrid’s arrest than you do, Mr. Weasley,”",
6626,said Lockhart in a self-satisfied tone.,
6627,"Ron started to say that he didn’t think so, somehow, but stopped in midsentence when",
6628,Harry kicked him hard under the desk.,
6629,"“We weren’t there, remember?” Harry muttered.",
6630,"But Lockhart’s disgusting cheeriness, his hints that he had always thought Hagrid was",
6631,"no good, his confidence that the whole business was now at an end, irritated Harry so",
6632,much that he yearned to throw Gadding with Ghouls right in Lockhart’s stupid face.,
6633,Instead he contented himself with scrawling a note to Ron: Let’s do it tonight.,
6634,"Ron read the message, swallowed hard, and looked sideways at the empty seat usually",
6635,"filled by Hermione. The sight seemed to stiffen his resolve, and he nodded.",
6636,"The Gryffindor common room was always very crowded these days, because from six",
6637,o’clock onward the Gryffindors had nowhere else to go. They also had plenty to talk,
6638,"about, with the result that the common room often didn’t empty until past midnight.",
6639,"Harry went to get the Invisibility Cloak out of his trunk right after dinner, and spent the",
6640,"evening sitting on it, waiting for the room to clear. Fred and George challenged Harry",
6641,"and Ron to a few games of Exploding Snap, and Ginny sat watching them, very subdued",
6642,"in Hermione’s usual chair. Harry and Ron kept losing on purpose, trying to finish the",
6643,"games quickly, but even so, it was well past midnight when Fred, George, and Ginny",
6644,finally went to bed.,
6645,Harry and Ron waited for the distant sounds of two dormitory doors closing before,
6646,"seizing the cloak, throwing it over themselves, and climbing through the portrait hole.",
6647,"It was another difficult journey through the castle, dodging all the teachers. At last they",
6648,"reached the entrance hall, slid back the lock on the oak front doors, squeezed between",
6649,"them, trying to stop any creaking, and stepped out into the moonlit grounds.",
6650,Page 230 of 291,
6651,Get free e-books and video tutorials at www.passuneb.com,
6652,,
6653,,
6654,"“’Course,” said Ron abruptly as they strode across the black grass, “we might get to the",
6655,forest and find there’s nothing to follow. Those spiders might not’ve been going there at,
6656,"all. I know it looked like they were moving in that sort of general direction, but…”",
6657,His voice trailed away hopefully.,
6658,"They reached Hagrid’s house, sad and sorry-looking with its blank windows. When Harry",
6659,"pushed the door open, Fang went mad with joy at the sight of them. Worried he might",
6660,"wake everyone at the castle with his deep, booming barks, they hastily fed him treacle",
6661,"fudge from a tin on the mantelpiece, which glued his teeth together.",
6662,Harry left the Invisibility Cloak on Hagrid’s table. There would be no need for it in the,
6663,pitchdark forest.,
6664,"“C’mon, Fang, we’re going for a walk,” said Harry, patting his leg, and Fang bounded",
6665,"happily out of the house behind them, dashed to the edge of the forest, and lifted his",
6666,leg against a large sycamore tree.,
6667,"Harry took out his wand, murmured, “Lumos!” and a tiny light appeared at the end of it,",
6668,just enough to let them watch the path for signs of spiders.,
6669,"“Good thinking,” said Ron. “I’d light mine, too, but you know — it’d probably blow up or",
6670,something…”,
6671,"Harry tapped Ron on the shoulder, pointing at the grass. Two solitary spiders were",
6672,hurrying away from the wandlight into the shade of the trees.,
6673,"“Okay,” Ron sighed as though resigned to the worst, “I’m ready. Let’s go.”",
6674,"So, with Fang scampering around them, sniffing tree roots and leaves, they entered the",
6675,"forest. By the glow of Harry’s wand, they followed the steady trickle of spiders moving",
6676,"along the path. They walked behind them for about twenty minutes, not speaking,",
6677,"listening hard for noises other than breaking twigs and rustling leaves. Then, when the",
6678,"trees had become thicker than ever, so that the stars overhead were no longer visible,",
6679,"and Harry’s wand shone alone in the sea of dark, they saw their spider guides leaving",
6680,the path.,
6681,Page 231 of 291,
6682,Get free e-books and video tutorials at www.passuneb.com,
6683,,
6684,,
6685,"Harry paused, trying to see where the spiders were going, but everything outside his",
6686,little sphere of light was pitch-black. He had never been this deep into the forest before.,
6687,He could vividly remember Hagrid advising him not to leave the forest path last time,
6688,"he’d been in here. But Hagrid was miles away now, probably sitting in a cell in Azkaban,",
6689,and he had also said to follow the spiders.,
6690,"Something wet touched Harry’s hand and he jumped backward, crushing Ron’s foot, but",
6691,it was only Fang’s nose.,
6692,"“What d’you reckon?” Harry said to Ron, whose eyes he could just make out, reflecting",
6693,the light from his wand.,
6694,"“We’ve come this far,” said Ron.",
6695,So they followed the darting shadows of the spiders into the trees. They couldn’t move,
6696,"very quickly now; there were tree roots and stumps in their way, barely visible in the",
6697,"near blackness. Harry could feel Fang’s hot breath on his hand. More than once, they",
6698,"had to stop, so that Harry could crouch down and find the spiders in the wandlight.",
6699,"They walked for what seemed like at least half an hour, their robes snagging on low-",
6700,"slung branches and brambles. After a while, they noticed that the ground seemed to be",
6701,"sloping downward, though the trees were as thick as ever.",
6702,"Then Fang suddenly let loose a great, echoing bark, making both Harry and Ron jump",
6703,out of their skins.,
6704,"“What?” said Ron loudly, looking around into the pitch-dark, and gripping Harry’s elbow",
6705,very hard.,
6706,"“There’s something moving over there,” Harry breathed. “Listen… sounds like something",
6707,big…”,
6708,"They listened. Some distance to their right, the something big was snapping branches as",
6709,it carved a path through the trees.,
6710,"“Oh, no,” said Ron. “Oh, no, oh, no, oh —”",
6711,Page 232 of 291,
6712,Get free e-books and video tutorials at www.passuneb.com,
6713,,
6714,,
6715,"“Shut up,” said Harry frantically. “It’ll hear you.”",
6716,“Hear me?” said Ron in an unnaturally high voice. “It’s already heard Fang!”,
6717,"The darkness seemed to be pressing on their eyeballs as they stood, terrified, waiting.",
6718,There was a strange rumbling noise and then silence.,
6719,“What d’you think it’s doing?” said Harry.,
6720,"“Probably getting ready to pounce,” said Ron.",
6721,"They waited, shivering, hardly daring to move.",
6722,“D’you think it’s gone?” Harry whispered.,
6723,“Dunno —”,
6724,"Then, to their right, came a sudden blaze of light, so bright in the darkness that both of",
6725,"them flung up their hands to shield their eyes. Fang yelped and tried to run, but got",
6726,lodged in a tangle of thorns and yelped even louder.,
6727,"“Harry!” Ron shouted, his voice breaking with relief “Harry, it’s our car!”",
6728,“What?”,
6729,“Come on!”,
6730,"Harry blundered after Ron toward the light, stumbling and tripping, and a moment later",
6731,they had emerged into a clearing.,
6732,"Mr. Weasley’s car was standing, empty, in the middle of a circle of thick trees under a",
6733,"roof of dense branches, its headlights ablaze. As Ron walked, open-mouthed, toward it,",
6734,"it moved slowly toward him, exactly like a large, turquoise dog greeting its owner.",
6735,"“It’s been here all the time!” said Ron delightedly, walking around the car. “Look at it.",
6736,The forest’s turned it wild…”,
6737,Page 233 of 291,
6738,Get free e-books and video tutorials at www.passuneb.com,
6739,,
6740,,
6741,The sides of the car were scratched and smeared with mud. Apparently it had taken to,
6742,trundling around the forest on its own. Fang didn’t seem at all keen on it; he kept clos,
6743,"to Harry, who could feel him quivering. His breathing slowing down again, Harry stuffed",
6744,his wand back into his robes.,
6745,"“And we thought it was going to attack us!” said Ron, leaning against the car and",
6746,patting it. “I wondered where it had gone!”,
6747,"Harry squinted around on the floodlit ground for signs of more spiders, but they had all",
6748,scuttled away from the glare of the headlights.,
6749,"“We’ve lost the trail,” he said. “C’mon, let’s go and find them.”",
6750,Ron didn’t speak. He didn’t move. His eyes were fixed on a point some ten feet above,
6751,"the forest floor, right behind Harry. His face was livid with terror.",
6752,Harry didn’t even have time to turn around. There was a loud clicking noise and,
6753,suddenly he felt something long and hairy seize him around the middle and lift him off,
6754,"the ground, so that he was hanging facedown. Struggling, terrified, he heard more",
6755,"clicking, and saw Ron’s legs leave the ground, too, heard Fang whimpering and howling",
6756,"— next moment, he was being swept away into the dark trees.",
6757,"Head hanging, Harry saw that what had hold of him was marching on six immensely",
6758,"long, hairy legs, the front two clutching him tightly below a pair of shining black pinc",rs.
6759,"Behind him, he could hear another of the creatures, no doubt carrying Ron. They were",
6760,moving into the very heart of the forest. Harry could hear Fang fighting to free himself,
6761,"from a third monster, whining loudly, but Harry couldn’t have yelled even if he had",
6762,wanted to; he seemed to have left his voice back with the car in the clearing.,
6763,He never knew how long he was in the creature’s clutches; he only knew that the,
6764,darkness suddenly lifted enough for him to see that the leaf-strewn ground was now,
6765,"swarming with spiders. Craning his neck sideways, he realized that they had reached the",
6766,"ridge of a vast hollow, a hollow that had been cleared of trees, so that the stars shone",
6767,brightly onto the worst scene he had ever laid eyes on.,
6768,Spiders. Not tiny spiders like those surging over the leaves below. Spiders the size of,
6769,"carthorses, eight-eyed, eight-legged, black, hairy, gigantic. The massive specimen that",
6770,Page 234 of 291,
6771,Get free e-books and video tutorials at www.passuneb.com,
6772,,
6773,,
6774,"was carrying Harry made its way down the steep slope toward a misty, domed web in",
6775,"the very center of the hollow, while its fellows closed in all around it, clicking their",
6776,pincers excitedly at the sight of its load.,
6777,Harry fell to the ground on all fours as the spider released him. Ron and Fang thudded,
6778,"down next to him. Fang wasn’t howling anymore, but cowering silently on the spot. Ron",
6779,looked exactly like Harry felt. His mouth was stretched wide in a kind of silent scream,
6780,and his eyes were popping.,
6781,Harry suddenly realized that the spider that had dropped him was saying something. It,
6782,"had been hard to tell, because he clicked his pincers with every word he spoke.",
6783,“Aragog!” it called. “Aragog!”,
6784,"And from the middle of the misty, domed web, a spider the size of a small elephant",
6785,"emerged, very slowly. There was gray in the black of his body and legs, and each of the",
6786,"eyes on his ugly, pincered head was milky white. He was blind.",
6787,"“What is it?” he said, clicking his pincers rapidly.",
6788,"“Men,” clicked the spider who had caught Harry.",
6789,"“Is it Hagrid?” said Aragog, moving closer, his eight milky eyes wandering vaguely.",
6790,"“Strangers,” clicked the spider who had brought Ron.",
6791,"“Kill them,” clicked Aragog fretfully. “I was sleeping…”",
